curve_num,model,n,n_unique_time,dynamic_range,rss,aic,bic,params,Species,Temp,Medium,PopBio_units
29,logistic,23,23,0.2944357197844495,0.04195150413611293,-139.05490976539784,-135.6484271176104,"0.211152,0.1049,39.3254",Pseudomonas.fluorescens.1,15,TSB,OD_595
29,gompertz,23,23,0.2944357197844495,0.042873913823394505,-138.55467623615817,-135.14819358837073,"0.21091,0.0786803,32.044",Pseudomonas.fluorescens.1,15,TSB,OD_595
30,quadratic,23,23,0.2784603541185527,0.031150722124569014,-145.9014775588797,-142.49499491109225,"0.0600812,0.00161555,-2.7946e-06",Pseudomonas.fluorescens.2,15,TSB,OD_595
30,cubic,23,23,0.2784603541185527,0.010067621780801568,-169.8802746506695,-165.3382977869529,"0.0196451,0.00315214,-1.15272e-05,1.24601e-08",Pseudomonas.fluorescens.2,15,TSB,OD_595
30,logistic,23,23,0.2784603541185527,0.004752092932187622,-189.1472802019237,-185.74079755413626,"0.257651,0.0670337,37.3643",Pseudomonas.fluorescens.2,15,TSB,OD_595
30,gompertz,23,23,0.2784603541185527,0.004642748256780184,-189.6826891677097,-186.27620651992225,"0.258352,0.0454149,26.3771",Pseudomonas.fluorescens.2,15,TSB,OD_595
31,quadratic,21,21,0.1729822940723628,0.01971989847262858,-140.38363983581417,-137.2500725226439,"0.137986,0.000699277,-1.42796e-06",Acinetobacter.clacoaceticus.1,15,TSB,OD_595
31,cubic,21,21,0.1729822940723628,0.01253660154670569,-147.89612977256508,-143.71804002167138,"0.0961533,0.00182211,-7.3033e-06,8.07834e-09",Acinetobacter.clacoaceticus.1,15,TSB,OD_595
31,logistic,21,21,0.1729822940723628,0.011364681825483926,-151.9571123716077,-148.82354505843745,"0.205017,0.0845085,18.1911",Acinetobacter.clacoaceticus.1,15,TSB,OD_595
31,gompertz,21,21,0.1729822940723628,0.011840815733790448,-151.0952290569469,-147.96166174377663,"0.20494,0.0659305,11.0874",Acinetobacter.clacoaceticus.1,15,TSB,OD_595
